Type,Name/Platform,Handle/Tier,URL/Category,Billing,Est_Annual_CAD,Email,Card_Ref,Purpose,Status
Social,SoundCloud,@noizyfish,https://soundcloud.com/noizyfish,N/A,0.0,rspnoizy@gmail.com,N/A,Primary Audio Ingest & Streaming Drops,ACTIVE
Social,SoundCloud,@robert-stephen-plowman,https://soundcloud.com/robert-stephen-plowman,N/A,0.0,rspnoizy@gmail.com,N/A,Founder Discography & Acoustic Archives,ACTIVE
Social,Discord,NOIZY EMPIRE HQ,discord.gg/noizyempire,N/A,0.0,rspnoizy@gmail.com,N/A,"Developer Guild, Bot Command Plane & Stem Drops",ACTIVE
Social,Discord,THE GATHERING,discord.gg/thegathering,N/A,0.0,rspnoizy@gmail.com,N/A,DreamChamber Sanctuary & Ambient Listening,ACTIVE
Social,Slack,NOIZY LABS,noizylabs.slack.com,N/A,0.0,rspnoizy@gmail.com,N/A,Core Audio DSP & Architecture Engineering,ACTIVE
Social,Slack,FISH MUSIC INC,fishmusicinc.slack.com,N/A,0.0,rspnoizy@gmail.com,N/A,"Corporate Governance, Tax & CRA Records",ACTIVE
Social,YouTube,@noizyfish,https://youtube.com/@noizyfish,N/A,0.0,rspnoizy@gmail.com,N/A,"Visualizers, Tutorials & DreamChamber Live",ACTIVE
Social,YouTube,@robertstephenplowman,https://youtube.com/@robertstephenplowman,N/A,0.0,rspnoizy@gmail.com,N/A,Wisdom Project & Personal Retrospective,ACTIVE
Social,X / Twitter,@noizyfish,https://x.com/noizyfish,N/A,0.0,rspnoizy@gmail.com,N/A,Ecosystem Updates & Sovereign Creator News,ACTIVE
Social,Instagram,@noizyfish,https://instagram.com/noizyfish,N/A,0.0,rspnoizy@gmail.com,N/A,Brand Imagery & Audio Waveforms,ACTIVE
Social,TikTok,@noizyfish,https://tiktok.com/@noizyfish,N/A,0.0,rspnoizy@gmail.com,N/A,Short-form Audio Stems & Studio Sessions,ACTIVE
Social,Bluesky,@noizyfish.bsky.social,https://bsky.app/profile/noizyfish.bsky.social,N/A,0.0,rspnoizy@gmail.com,N/A,Decentralized AT Protocol Broadcasts,ACTIVE
Social,Spotify for Artists,Fish Music / RSP,https://artists.spotify.com,N/A,0.0,rspnoizy@gmail.com,N/A,DSP Distribution & Royalty Flow (75/25),ACTIVE
Social,Apple Music for Artists,Fish Music / RSP,https://artists.apple.com,N/A,0.0,rspnoizy@gmail.com,N/A,Lossless Spatial Audio Ingest,ACTIVE
Social,Bandcamp,fishmusic.bandcamp.com,https://fishmusic.bandcamp.com,N/A,0.0,rspnoizy@gmail.com,N/A,Direct-to-Fan Sovereign Releases,ACTIVE
Admin_Sub,Cloudflare,Pro / D1 / Workers,DNS & Edge Infrastructure,Monthly,360.0,rspnoizy@gmail.com,Proton Pass Sovereign Card,"Authoritative DNS (10 domains), D1 (447+ memcells), R2 Audio Vault",CRITICAL / ACTIVE
Admin_Sub,Google Workspace & Drive,5TB Business Plus,Cloud Storage & Identity,Monthly,324.0,rspnoizy@gmail.com,Proton Pass Sovereign Card,"5TB Audio rescue mirror, Google Antigravity SDK, Workspace Comms",CRITICAL / ACTIVE
Admin_Sub,GitHub,Teams + Copilot Pro,Source Control & CI/CD,Monthly,240.0,rspnoizy@gmail.com,Proton Pass Sovereign Card,"Monorepo host (NOIZYGIT-MASTER), automated testing, AI copilot",CRITICAL / ACTIVE
Admin_Sub,Anthropic Claude,Claude Pro / API,AI Ideation & Reasoning,Monthly,320.0,rspnoizy@gmail.com,Proton Pass Sovereign Card,"Deep reasoning, code architecture, Wisdom Project ideation",CRITICAL / ACTIVE
Admin_Sub,OpenAI ChatGPT,ChatGPT Plus / API,AI Multimodal & Coding,Monthly,320.0,rspnoizy@gmail.com,Proton Pass Sovereign Card,"Multimodal synthesis, voice modeling, GPT-4o analysis",ACTIVE
Admin_Sub,Apple Developer Program,Individual / Organization,macOS / iOS Code Signing,Annual,139.0,rspnoizy@gmail.com,Proton Pass Sovereign Card,"Audio Unit AUv3, VST3, macOS notarization, App Store deploy",CRITICAL / ACTIVE
Admin_Sub,Parallels Desktop Pro,Pro Edition (v27),Virtualization Hypervisor,Annual,160.0,rspnoizy@gmail.com,Proton Pass Sovereign Card,Windows 11 ARM64 NOIZYWIN Microbeast on M2 Ultra,ACTIVE
Admin_Sub,Desktop Commander MCP,Pro License,AI System Control,Subscription / Active,120.0,rspnoizy@gmail.com,Proton Pass Sovereign Card,Desktop automation MCP server for AI agent command execution,ACTIVE
Admin_Sub,TagSpaces Pro,Pro Desktop,Offline File Management,Perpetual / Maintenance,60.0,rspnoizy@gmail.com,Proton Pass Sovereign Card,"Cross-drive tagging across 12TB, 4TB Lacie, and SGW",ACTIVE
Admin_Sub,DEVONthink Pro,Pro v3.x,Knowledge Architecture,Perpetual / Upgrades,99.0,rspnoizy@gmail.com,Proton Pass Sovereign Card,"Global AI inbox, semantic indexing of 300,000+ files",ACTIVE
Admin_Sub,Proton (Pass & Mail),Proton Unlimited / Pass,Encrypted Vault & Security,Annual,150.0,rspnoizy@gmail.com,Mastercard (R.S PLOWMAN),"Zero-knowledge secrets vault, sovereign banking card, PGP mail",CRITICAL / ACTIVE
Admin_Sub,Tailscale / Headscale,Self-Hosted + Free Tier,Mesh VPN & Zero-Trust,FOSS / Free,0.0,rspnoizy@gmail.com,N/A,"Encrypted sovereign mesh connecting M2 Ultra, MacBooks, iPhone, iPad",CRITICAL / ACTIVE
